
13-02-2018 22:38:10:151 - D: 	Executing bot with following commands /home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/Bot/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-38-07-080/Phase 2 - Round 94/A"
13-02-2018 22:38:10:151 - I: 	Executing process /home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/Bot/SampleBot.exe A "/home/adylanrff/Documents/Programming/Kuliah/Semester 4/Strategi Algoritma/Battleship/GameEngine/Battleships/Battleships/bin/Release/Replays/2018-02-13 22-38-07-080/Phase 2 - Round 94/A"
13-02-2018 22:38:10:152 - I: 	Bot has 4000ms to run before it will be forcefully killed
13-02-2018 22:38:10:153 - I: 	Output from bot: cek
13-02-2018 22:38:10:154 - I: 	Output from bot: Cek
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 0
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 6
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 1
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 5
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 1
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 9
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 2
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 8
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 2
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 10
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 4
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 0
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 4
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 6
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 5
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 5
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 6
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 0
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 8
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 8
13-02-2018 22:38:10:154 - I: 	Output from bot: x: 10
13-02-2018 22:38:10:154 - I: 	Output from bot: y: 10
13-02-2018 22:38:10:154 - I: 	Output from bot: 4
13-02-2018 22:38:10:154 - I: 	Output from bot: 0
13-02-2018 22:38:10:154 - I: 	Output from bot: FOO
13-02-2018 22:38:10:154 - I: 	Output from bot: 4
13-02-2018 22:38:10:154 - I: 	Output from bot: 0
13-02-2018 22:38:10:155 - I: 	Output from bot: 
13-02-2018 22:38:10:155 - E: 	Output from bot: 
13-02-2018 22:38:10:155 - I: 	Your bots total execution time was 00:00:00.0034891
